City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Souillac,MU,75.2,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
2,Kavieng,PG,78.37,light rain,-2.5744,150.7967,Nusa Island Retreat
3,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
4,Mahebourg,MU,75.2,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
5,Punta Arenas,CL,50.0,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
6,Mataura,NZ,50.0,light rain,-46.1927,168.8643,Ellie's Villa
7,Rikitea,PF,78.57,clear sky,-23.1203,-134.9692,Pension Maro'i
8,Castro,BR,70.75,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
11,Hasaki,JP,50.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
13,Hilo,US,77.0,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Yulara,AU,60.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
16,Hamilton,US,64.0,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
17,San Patricio,US,86.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
18,Atuona,PF,80.82,light rain,-9.8,-139.0333,Villa Enata
19,Puerto Ayora,EC,78.8,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Almeirim,BR,85.86,few clouds,-1.5233,-52.5817,Ricácio Hotel
24,Avarua,CK,78.8,broken clouds,-21.2078,-159.775,Paradise Inn
25,Balykshi,KZ,53.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
26,Ushuaia,AR,53.6,scattered clouds,-54.8,-68.3,Albatros Hotel
28,Fortuna,US,61.0,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
30,Kaitangata,NZ,50.9,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
31,Sragen,ID,74.19,few clouds,-7.4264,111.0222,Graha Hotel Sragen
32,Bathsheba,BB,82.4,volcanic ash,13.2167,-59.5167,Atlantis Hotel
33,Port Elizabeth,ZA,68.0,broken clouds,-33.918,25.5701,39 On Nile Guest House
34,Hermanus,ZA,62.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Jamestown,US,52.0,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Chuy,UY,67.08,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
39,Coquimbo,CL,59.0,scattered clouds,-29.9533,-71.3436,Punto de encuentro
40,Bredasdorp,ZA,66.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,Cape Town,ZA,63.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
43,Nikolskoye,RU,55.4,clear sky,59.7035,30.7861,Tourist House - Sablino
44,Lebu,CL,62.65,clear sky,-37.6167,-73.65,Hostal Las Lilas
45,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
46,Pitimbu,BR,82.4,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
47,Albany,US,52.0,overcast clouds,42.6001,-73.9662,
48,Butaritari,KI,81.63,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
49,Bardsir,IR,68.0,scattered clouds,29.9227,56.5743,هتل سجاد
53,Airai,TL,57.04,overcast clouds,-8.9266,125.4092,Juvinal Martin
