City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,48.99,88,100,1.99,overcast clouds
1,Souillac,MU,-20.5167,57.5167,75.2,100,75,8.05,moderate rain
2,Kavieng,PG,-2.5744,150.7967,78.37,77,100,13.29,light rain
3,Vaini,TO,-21.2,-175.2,73.4,88,20,4.61,few clouds
4,Mahebourg,MU,-20.4081,57.7,75.2,100,75,8.05,moderate rain
5,Punta Arenas,CL,-53.15,-70.9167,50.0,53,75,25.32,broken clouds
6,Mataura,NZ,-46.1927,168.8643,50.0,95,100,3.0,light rain
7,Rikitea,PF,-23.1203,-134.9692,78.57,69,7,10.38,clear sky
8,Castro,BR,-24.7911,-50.0119,70.75,86,58,4.74,broken clouds
9,Nantucket,US,41.2835,-70.0995,46.4,87,90,12.66,mist
10,Yar-Sale,RU,66.8333,70.8333,28.33,77,39,22.3,scattered clouds
11,Hasaki,JP,35.7333,140.8333,50.0,87,75,4.61,broken clouds
12,New Norfolk,AU,-42.7826,147.0587,46.0,87,100,2.26,overcast clouds
13,Hilo,US,19.7297,-155.09,77.0,61,40,6.91,scattered clouds
14,Ostrovnoy,RU,68.0531,39.5131,32.43,91,100,8.39,overcast clouds
15,Yulara,AU,-25.2406,130.9889,60.8,41,93,5.75,overcast clouds
16,Hamilton,US,39.1834,-84.5333,64.0,59,75,13.8,broken clouds
17,San Patricio,US,28.017,-97.5169,86.0,74,90,14.97,overcast clouds
18,Atuona,PF,-9.8,-139.0333,80.82,74,38,18.54,light rain
19,Puerto Ayora,EC,-0.7393,-90.3518,78.8,89,75,6.91,light rain
20,Almeirim,BR,-1.5233,-52.5817,85.86,65,24,4.12,few clouds
21,Pangnirtung,CA,66.1451,-65.7125,33.8,100,90,9.22,snow
22,Dikson,RU,73.5069,80.5464,25.21,87,100,16.35,overcast clouds
23,Hobart,AU,-42.8794,147.3294,46.0,93,97,5.75,overcast clouds
24,Avarua,CK,-21.2078,-159.775,78.8,78,53,3.44,broken clouds
25,Balykshi,KZ,47.0667,51.8667,53.6,22,0,11.18,clear sky
26,Ushuaia,AR,-54.8,-68.3,53.6,35,40,5.75,scattered clouds
27,Orel-Izumrud,RU,43.4583,39.9244,48.2,81,90,4.47,overcast clouds
28,Fortuna,US,40.5982,-124.1573,61.0,82,1,12.66,clear sky
29,Talnakh,RU,69.4865,88.3972,21.83,95,100,7.0,light snow
30,Kaitangata,NZ,-46.2817,169.8464,50.9,96,100,5.28,overcast clouds
31,Sragen,ID,-7.4264,111.0222,74.19,92,24,5.97,few clouds
32,Bathsheba,BB,13.2167,-59.5167,82.4,65,75,16.11,volcanic ash
33,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,3.44,broken clouds
34,Hermanus,ZA,-34.4187,19.2345,62.01,90,100,1.99,overcast clouds
35,Barrow,US,71.2906,-156.7887,-9.4,64,1,11.5,clear sky
36,Jamestown,US,42.097,-79.2353,52.0,93,90,12.66,moderate rain
37,College,US,64.8569,-147.8028,39.2,48,75,1.88,broken clouds
38,Chuy,UY,-33.6971,-53.4616,67.08,63,0,5.39,clear sky
39,Coquimbo,CL,-29.9533,-71.3436,59.0,82,40,13.8,scattered clouds
40,Bredasdorp,ZA,-34.5322,20.0403,66.2,77,90,9.22,overcast clouds
41,Khor,RU,47.8861,134.9464,46.63,73,100,14.88,overcast clouds
42,Cape Town,ZA,-33.9258,18.4232,63.0,94,75,14.97,broken clouds
43,Nikolskoye,RU,59.7035,30.7861,55.4,38,0,8.95,clear sky
44,Lebu,CL,-37.6167,-73.65,62.65,74,0,15.9,clear sky
45,Hambantota,LK,6.1241,81.1185,77.0,100,20,6.91,few clouds
46,Pitimbu,BR,-7.4706,-34.8086,82.4,89,40,13.8,scattered clouds
47,Albany,US,42.6001,-73.9662,52.0,62,100,2.62,overcast clouds
48,Butaritari,KI,3.0707,172.7902,81.63,73,100,14.85,overcast clouds
49,Bardsir,IR,29.9227,56.5743,68.0,26,40,11.5,scattered clouds
50,Lasa,IT,46.6166,10.7002,42.01,80,75,11.5,light snow
51,Iqaluit,CA,63.7506,-68.5145,35.6,87,90,8.05,overcast clouds
52,Bjornevatn,NO,69.6672,29.9847,28.4,69,0,6.91,clear sky
53,Airai,TL,-8.9266,125.4092,57.04,74,98,2.33,overcast clouds
54,Bow Island,CA,49.8668,-111.3684,39.99,56,100,11.5,overcast clouds
55,Ribeira Grande,PT,38.5167,-28.7,62.6,94,40,10.36,scattered clouds
56,Lumsden,CA,50.6501,-104.8678,27.0,86,90,28.77,snow
57,Chicama,PE,-7.8447,-79.1469,69.8,83,31,11.5,fog
58,Mosquera,CO,4.7059,-74.2302,60.8,77,75,10.36,broken clouds
59,Kloulklubed,PW,7.0419,134.2556,78.8,89,90,3.44,overcast clouds
60,Saint George,US,37.1041,-113.5841,75.0,12,1,2.04,clear sky
61,East London,ZA,-33.0153,27.9116,73.4,94,40,9.22,scattered clouds
62,Severo-Kurilsk,RU,50.6789,156.125,33.03,96,100,2.82,light snow
63,Jaguarao,BR,-32.5661,-53.3758,69.8,61,4,4.45,clear sky
64,Georgetown,MY,5.4112,100.3354,80.6,89,20,1.14,few clouds
65,Cidreira,BR,-30.1811,-50.2056,72.03,68,46,11.77,scattered clouds
66,Cabo San Lucas,MX,22.8909,-109.9124,79.0,36,1,8.05,clear sky
67,Ilulissat,GL,69.2167,-51.1,32.0,93,75,9.22,snow
68,Trairi,BR,-3.2778,-39.2689,80.56,80,35,10.2,scattered clouds
69,Hithadhoo,MV,-0.6,73.0833,83.23,70,76,9.37,broken clouds
70,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,37,0,12.66,clear sky
71,Westport,US,41.1415,-73.3579,50.0,81,90,5.75,overcast clouds
